fetched_at,source,published_at,title,one_liner_en,score,tags,url
2025-08-08T08:31:25-04:00,yahoo_finance,2025-08-08T04:04:07-04:00,"10 Cheap, Beautiful Places To Retire","10 Cheap, Beautiful Places To Retire",0.0,,https://finance.yahoo.com/news/15-cheap-beautiful-places-retire-143120191.html
2025-08-08T08:31:25-04:00,yahoo_finance,2025-08-08T07:08:31-04:00,Analyst Report: Emerson Electric Co.,Analyst Report: Emerson Electric Co.,0.0,,https://finance.yahoo.com/research/reports/ARGUS_2935_AnalystReport_1754651311000?yptr=yahoo&ncid=yahooproperties_plusresear_nm5q6ze1cei
2025-08-08T08:31:25-04:00,yahoo_finance,2025-08-08T07:08:31-04:00,Analyst Report: Duke Energy Corp.,Analyst Report: Duke Energy Corp. [energy],1.1,energy,https://finance.yahoo.com/research/reports/ARGUS_2911_AnalystReport_1754651311000?yptr=yahoo&ncid=yahooproperties_plusresear_nm5q6ze1cei
2025-08-08T08:31:25-04:00,yahoo_finance,2025-08-08T07:08:31-04:00,Analyst Report: Firstenergy Corp.,Analyst Report: Firstenergy Corp. [energy],1.1,energy,https://finance.yahoo.com/research/reports/ARGUS_2966_AnalystReport_1754651311000?yptr=yahoo&ncid=yahooproperties_plusresear_nm5q6ze1cei
2025-08-08T08:31:25-04:00,yahoo_finance,2025-08-08T07:05:09-04:00,Daily Spotlight: Monthly Review of Valuations,Daily Spotlight: Monthly Review of Valuations [tech],1.4,tech,https://finance.yahoo.com/research/reports/ARGUS_44345_MarketOutlook_1754651109000?yptr=yahoo&ncid=yahooproperties_plusresear_nm5q6ze1cei
2025-08-08T08:31:25-04:00,yahoo_finance,2025-08-08T07:04:35-04:00,Technical Assessment: Bullish in the Intermediate-Term,Technical Assessment: Bullish in the Intermediate-Term,0.0,,https://finance.yahoo.com/research/reports/ARGUS_44344_TechnicalAnalysis_1754651075000?yptr=yahoo&ncid=yahooproperties_plusresear_nm5q6ze1cei
2025-08-08T08:31:25-04:00,yahoo_finance,2025-08-08T06:53:31-04:00,"Market Digest: NVO, DUK, EMR, FE, J, MAR","Market Digest: NVO, DUK, EMR, FE, J, MAR",1.5,,https://finance.yahoo.com/research/reports/ARGUS_44342_MarketSummary_1754650411000?yptr=yahoo&ncid=yahooproperties_plusresear_nm5q6ze1cei
2025-08-08T08:31:25-04:00,reuters_markets_via_gnews,2025-08-08T07:49:03-04:00,Stocks rise as investors eye Fed revamp; gold hits record - Reuters,Stocks rise as investors eye Fed revamp; gold hits record - Reuters [rates],2.5,rates,https://news.google.com/rss/articles/CBMiigFBVV95cUxQckJpX3dQazdFWThtSFFYVjdLbVRIdUx0RTBvWTN5WHdtU0tNaTF1WnBfU0FhTEx0SUpBZFBmbWI0MDBBdDNIdU5HTU5tSkhxQi1aNU9mc0xKUHpxaERVM0tGeGZKYWF4cV9tdzRlNkFXUE5VbzdIQXVGYi1aRTEzd0ZndUp3d1owVGc?oc=5
2025-08-08T08:31:25-04:00,reuters_markets_via_gnews,2025-08-08T06:44:34-04:00,Indian state refiners step up non-Russian oil purchases under Trump pressure - Reuters,Indian state refiners step up non-Russian oil purchases under Trump pressure - Reuters [energy],1.6,energy,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNTlJFQ0FHWlNCR2hLLXFiM0MtRndIOTBCaEZLclI4WjRqZDlWZkd4R0JXcWpMNVo4Z3NPcjRCa3JmUmhRNlUwV2VpYTZQLWlYeHY3T3JoX2pKVmU0akRUWHpzTzd3Yl93d2NhdXQtUks3UnB4SndWeXdDdnVOclEyaXdaZV9ZSExUZUpFZzVfUENQNC11aGtDRXV1MzRNbHM4eU1manVRUE0zQlBWWl85bEtIYUZ5blpOYjdCWWhvd094bFN6cEtCNQ?oc=5
2025-08-08T08:31:25-04:00,reuters_markets_via_gnews,2025-08-08T00:32:00-04:00,Morning Bid: Trump moves to extend grip on Fed - Reuters,Morning Bid: Trump moves to extend grip on Fed - Reuters [rates],2.5,rates,https://news.google.com/rss/articles/CBMie0FVX3lxTFBrZ2NmQ29pdEJSZkwyV18zUzJxcDZSVG4yV1FvcF9wX1oxbnBCX0NxY3RWbVIwYWprY29wbUE4QkFxaWlmTEhvSUxrVlphYWZqWEVIN0NQbjhWajd0NDIwc3B4Q3d1T2RucWlWQmd0YThMTFRWX01mVmZodw?oc=5
